,in,out
門司港,,55
小森江,90,
門司,60,100
北九州（タ）,95,90
東小倉,90,70
小倉,95,40
西小倉,,110
九州工大前,,
戸畑,,105
枝光,,105
スペースワールド,100,100
八幡,,105
黒崎,90,90
陣原,,105
折尾,70,70
水巻,,
遠賀川,,
海老津,,85
教育大前,85,110
赤間,,95
東郷,95,90
東福間,,
福間,105,95
千鳥,,115
古賀,115,95
ししぶ,,
新宮中央,,
福工大前,110,
九産大前,,110
香椎,80,80
千早,115,
千早（操）,115,85
箱崎,,
吉塚,,
博多,50,45
竹下,90,
笹原,,
南福岡,,
春日,,
大野城,,
水城,85,90
大宰府（信）,,
都府楼南,,
二日市,110,
天拝山,,
原田,75,70
けやき台,105,85
基山,95,105
弥生が丘,,
田代,60,
鳥栖,45,50
肥前旭,,90
久留米,45,35
荒木,,
西牟田,,
羽犬塚,,
筑後船小屋,,
瀬高,,
南瀬高,,
渡瀬,,
吉野,,
銀水,,
大牟田,85,
荒尾,45,
