,in,out
荒尾,,45
大牟田,95,60
銀水,,
吉野,,
渡瀬,,
南瀬高,,
瀬高,,
筑後船小屋,,
羽犬塚,,
西牟田,,
荒木,,90
久留米,75,85
肥前旭,,85
鳥栖,60,50
田代,60,95
弥生が丘,,
基山,105,95
けやき台,95,105
原田,80,75
天拝山,,
二日市,95,105
都府楼南,,
大宰府（信）,,
水城,105,85
大野城,,
春日,,
南福岡,,
笹原,,
竹下,,
博多,45,60
吉塚,120,120
箱崎,120,120
千早（操）,100,120
千早,110,110
香椎,100,110
九産大前,115,125
福工大前,120,120
新宮中央,,
ししぶ,125,120
古賀,120,120
千鳥,120,125
福間,100,115
東福間,,
東郷,95,110
赤間,120,120
教育大前,115,90
海老津,95,120
遠賀川,120,100
水巻,,
折尾,75,75
陣原,115,
黒崎,95,105
八幡,120,110
スペースワールド,110,110
枝光,110,
戸畑,110,
九州工大前,,
西小倉,115,
小倉,70,75
東小倉,,
北九州（タ）,,
門司,60,55
小森江,,
門司港,35,
