retsuban,vehicle_type
120M,811
121M,811
1220M,813
1222M,811
122M,813
123M,813
124M,813
125M,811
126M,811
127M,813
128M,811
129M,813
130M,415
131M,817
,817
1321M,811
1323M,815
1325M,813
1327M,813
1329M,813
132M,811
1331M,813
133M,813
134M,415
135M,813
136M,813
137M,813
138M,813
139M,811
140M,813
141M,813
1420M,815
1421M,821
1422M,815
1423M,821
1424M,821
1425M,815
1426M,815
1427M,815
1428M,815
1429M,815
142M,813
1430M,821
1431M,821
1432M,815
1433M,815
1434M,815
1435M,815
1436M,821
1437M,815
1438M,815
1439M,815
143M,813
1440M,815
1441M,815
1442M,815
1443M,815
1444M,815
1445M,821
1446M,815
1447M,815
1448M,815
1449M,815
144M,811
1450M,821
1451M,821
1452M,815
1453M,815
1454M,815
1455M,815
1456M,821
1457M,821
1458M,815
1459M,815
145M,813
1460M,815
1461M,815
1462M,821
1463M,821
1464M,815
1465M,815
1466M,815
1467M,815
1468M,821
1469M,821
1470M,815
1471M,815
1472M,815
1473M,815
1474M,821
1475M,821
1476M,815
1477M,815
1478M,815
1479M,815
147M,813
1480M,815
1481M,815
1482M,821
1483M,815
1484M,815
1485M,821
1486M,815
1487M,815
1488M,815
1489M,815
1490M,815
1491M,815
1492M,821
1493M,815
1494M,815
1495M,815
1496M,815
1497M,821
1498M,815
1499M,815
1520M,815
1521M,815
1522M,815
1523M,815
1524M,821
1525M,821
1526M,815
1527M,815
1528M,815
1529M,815
1530M,815
1531M,815
1532M,821
1533M,821
1534M,815
1535M,815
1536M,815
1537M,815
1727C,819
1820M,811
2121M,415
2122M,813
2123M,813
2124M,813
2125M,811
2126M,813
2127M,813
2128M,813
2129M,813
2130M,813
2132M,813
2133M,813
2134M,819
2135M,811
2136M,813
2137M,813
2138M,811
2139M,813
2140M,813
2141M,813
2142M,813
2143M,819
2144M,811
2145M,813
2146M,813
2147M,811
2148M,813
2149M,813
2150M,819
2151M,811
2152M,813
2153M,813
2154M,811
2155M,813
2156M,813
2157M,817
2158M,811
2159M,813
2160M,813
2161M,819
2162M,813
2163M,813
2164M,811
2165M,813
2166M,817
2167M,813
2168M,813
2169M,415
2170M,813
2171M,811
2172M,813
2173M,813
2174M,415
2175M,813
2176M,813
2177M,813
2178M,811
2179M,415
2180M,813
2181M,813
2182M,813
2183M,813
2184M,415
2185M,811
2186M,815
2220M,813
2222M,813
2223M,813
2225M,415
2226M,813
2227M,813
2228M,415
2229M,813
2230M,813
2231M,415
2232M,813
2233M,813
2234M,415
2235M,813
2236M,813
2237M,811
2239M,811
2241M,811
2243M,813
2320M,813
2321M,811
2322M,811
2323M,815
2324M,813
2325M,811
,811
2326M,813
2327M,813
2328M,813
2329M,813
,813
2330M,813
2331M,813
2332M,811
2333M,817
2334M,415
2335M,813
2336M,415
2337M,813
2338M,811
2339M,813
2340M,817
2341M,811
2342M,813
,813
2343M,811
2344M,813
2345M,811
2346M,813
2347M,813
2348M,817
2349M,817
2350M,813
2351M,811
2352M,813
2353M,415
2354M,813
,813
2355M,813
2356M,813
2357M,813
2358M,811
2360M,811
2362M,813
2364M,811
2366M,811
2368M,811
2522M,813
2525M,811
2536M,811
2555M,813
2563M,813
2566M,813
2569M,813
2570M,813
2573M,813
2667H,821
2674H,821
2686H,821
2690H,821
2695H,821
2727C,819
2821M,811
2822M,811
2823M,415
2824M,811
,811
2825M,811
2826M,415
2828M,811
2829M,811
2830M,813
2831M,811
2832M,811
2835M,811
2836M,811
2838M,811
2851M,811
2856M,811
2863M,811
2866M,811
,811
2879M,811
2881M,813
2920M,811
2923M,415
2925M,811
,811
2927M,811
,811
2928M,415
2931M,811
,811
3120M,811
3121M,813
3122M,813
3123M,813
3124M,813
3125M,811
3126M,415
3161M,415
320M,815
321M,815
3220M,811
3221M,811
3222M,813
3223M,813
3225M,813
3227M,811
3229M,817
322M,821
323M,815
324M,821
325M,415
326M,815
327M,821
328M,821
329M,815
330M,815
331M,813
332M,821
333M,811
334M,815
335M,815
336M,815
337M,815
338M,815
339M,821
340M,821
341M,815
342M,815
343M,815
344M,815
345M,815
346M,815
347M,821
348M,815
349M,815
350M,821
351M,815
352M,815
353M,821
354M,815
355M,815
356M,815
357M,815
358M,821
359M,815
360M,815
